연번,단어_용어,이표기_오표기,대안어(안)
1,1코노미,일코노미,1인 경제
2,가드너,,"정원사, 원예사"
3,가드닝,,생활 원예
4,가드닝 클래스,,원예 수업 
5,가든 쇼,,"정원 행사, 정원 공연, 뜰 공연, 정원 박람회, 정원 쇼"
6,가스 마스크,,방독면
7,가이드 스폿,가이드 스팟,"유도점, 안내 지점 "
8,갭 먼스,,채움 기간(한 달)
9,갭 이어,,채움 기간(일 년)
10,거버넌스,,"정책, 관리, 민관 협력, 협치, 행정"
11,게리맨더링,개리멘더링,자의적 선거구 (획정)
12,게이머 라운지,,"게이머 쉼터, 게임 체험장, 게임 체험 구역"
13,게이미피케이션,,게임화
14,게이트 키퍼,,생명 지킴이
15,고스팅,,고용 잠적
16,골게터,,주득점 선수
17,골든 시드,,우량 종자 산업
18,규제 샌드박스,,"규제 유예, 규제 유예 제도"
19,규제 프리 존,,"규제 청정 지역, 규제 자유 구역, 규제 (대폭) 완화 지역, 무규제 지역"
20,그라운드 제로,,"폭격 지점, 폭발 지점, 대재앙 현장"
21,그라피티,그래피티,길거리 그림
22,그래픽 노블,,만화형 소설
23,그랜드 딜,,대규모 협상
24,그랜드 바겐,,일괄 타결
25,그랜드 플랜,,"큰 계획, 대규모 계획"
26,그레이 존,,회색 지대
27,그레이딩,,"수정, 치수 조정, 등급화, 등급 부여, 등급 판정, 등급 매기기, 목재 분류"
28,그로테스크,그로우테스크,"기괴한, 터무니없는"
29,그룹 웨어 ,,공동 작업 전산망
30,그룹 홈,,자활 꿈터
31,그리드,,"격자, 석쇠무늬, 망"
32,그리드 컴퓨팅,,컴퓨터 연계 활용
33,그리퍼,,"집게, (로봇) 손"
34,그린 레시피,,친환경 조리법
35,그린 리모델링,,친환경 새 단장
36,그린 모빌리티,,"친환경 이동 수단, 친환경 교통수단"
37,그린 빌리지,,친환경 마을
38,그린 스마트,,친환경 지능형  
39,그린 오션,,"친환경 시장, 친환경 산업, 친환경 전략"
40,그린 잡,,친환경 직업 
41,그린 포트폴리오,,친환경 수익 전략
42,그린 학교,,"친환경 학교, 생태 학교"
43,그린 홈,,친환경 주택
44,그린루프,,옥상 정원
45,그린슈머,,"녹색 소비자, 친환경 소비자"
46,그린웨이,,"녹색길, 친환경 길 "
47,그린인프라,,녹색 기반 시설
48,그린테일,,친환경 유통
49,그린피,,"입장료, 골프장 입장료 "
50,글라이더,,활공기
51,글로벌 몰,,세계적 쇼핑몰
52,글로벌 밸류 체인,글로벌 벨류 체인,"국제 가치 사슬, 전지구 가치 사슬, 국제적 가치 사슬, 국제 공급망, 세계적 공급 체계"
53,글로벌 핀테크,,국제 금융 기술
54,글로브 월,,의료용 분리벽
55,글로컬,글로컬라이제이션,"세계 지역화, 세방화"
